Stock,Open (Buy),nr. shares,price/share,buy value,Date,Close (Sell),nr. shares.1,price/share.1,sell value,Date.1,col1,buy_date_new
XPEV,B,1,39.86,39.86,29.12.2020,S,1,40.01,40,08.07.2021,,12/29/2020
XPEV,B,1,46.93,46.93,12.02.2021,S,1,51.01,51,29.11.2021,,2/12/2021
XPEV,B,6,18.93,113.58,23.08.2022,,,,,,,8/23/2022
XPEV,B,3,16.21,48.63,09.09.2022,,,,,,,9/9/2022
XPEV,B,8,14.57,116.56,16.09.2022,,,,,,,9/16/2022
XPEV,B,14,10,140,06.01.2023,,,,,,,1/6/2023
XPEV,B,20,10.11,202.17,09.01.2023,,,,,,,1/9/2023
ZM,B,0.01,376,3.76,27.01.2021,S,0.01,81,0.79,24.10.2022,,1/27/2021
ZM,B,1,528.38,529.57,23.09.2020,S,1,518.88,518.86,13.10.2020,,9/23/2020
ZM,B,0.2,492.85,98.57,05.10.2020,S,0.2,496.20,99.23,09.10.2020,,10/5/2020
ZM,B,0.5,479.96,239.98,05.10.2020,S,0.5,483.90,241.93,05.10.2020,,10/5/2020
ZM,B,0.1,479.20,47.92,06.10.2020,S,0.1,484.80,48.47,07.10.2020,,10/6/2020
ZM,B,0.2,498.75,99.75,12.10.2020,S,0.2,551.07,110.21,20.10.2020,,10/12/2020
ZM,B,0.25,517.80,129.45,15.10.2020,S,0.25,551.07,137.75,20.10.2020,,10/15/2020
ZM,B,0.2,524.35,104.87,15.10.2020,S,0.2,411.31,82.26,08.12.2020,,10/15/2020
ZM,B,0.25,531.92,132.98,15.10.2020,S,0.25,411.31,102.82,08.12.2020,,10/15/2020
ZM,B,0.25,563.48,140.87,16.10.2020,S,0.25,411.31,102.82,08.12.2020,,10/16/2020
ZM,B,0.15,580,87,19.10.2020,S,0.15,322,48.29,12.04.2021,,10/19/2020
